SCHOOLNAME	ATTDATE	MEMBERSHIP	ABSENCES
IDEA Achieve Academy	15-Apr-24	615	49
IDEA Achieve Academy	16-Apr-24	615	43
IDEA Achieve Academy	17-Apr-24	615	38
IDEA Achieve Academy	18-Apr-24	614	34
IDEA Achieve Academy	19-Apr-24	614	59
IDEA Achieve College Preparatory	15-Apr-24	442	21
IDEA Achieve College Preparatory	16-Apr-24	442	14
IDEA Achieve College Preparatory	17-Apr-24	442	20
IDEA Achieve College Preparatory	18-Apr-24	441	24
IDEA Achieve College Preparatory	19-Apr-24	441	36
IDEA Alamo Academy	15-Apr-24	696	37
IDEA Alamo Academy	16-Apr-24	695	27
IDEA Alamo Academy	17-Apr-24	694	32
IDEA Alamo Academy	18-Apr-24	694	24
IDEA Alamo Academy	19-Apr-24	694	52
IDEA Alamo College Preparatory	15-Apr-24	734	37
IDEA Alamo College Preparatory	16-Apr-24	734	25
IDEA Alamo College Preparatory	17-Apr-24	734	32
IDEA Alamo College Preparatory	18-Apr-24	734	15
IDEA Alamo College Preparatory	19-Apr-24	734	51
IDEA Ambrose and Freda Robinson Academy	15-Apr-24	413	36
IDEA Ambrose and Freda Robinson Academy	16-Apr-24	413	27
IDEA Ambrose and Freda Robinson Academy	17-Apr-24	412	24
IDEA Ambrose and Freda Robinson Academy	18-Apr-24	412	23
IDEA Ambrose and Freda Robinson Academy	19-Apr-24	412	22
IDEA Ambrose and Freda Robinson College Preparatory	15-Apr-24	118	6
IDEA Ambrose and Freda Robinson College Preparatory	16-Apr-24	119	7
IDEA Ambrose and Freda Robinson College Preparatory	17-Apr-24	119	3
IDEA Ambrose and Freda Robinson College Preparatory	18-Apr-24	119	6
IDEA Ambrose and Freda Robinson College Preparatory	19-Apr-24	119	7
IDEA Bluff Springs Academy	15-Apr-24	584	59
IDEA Bluff Springs Academy	16-Apr-24	584	27
IDEA Bluff Springs Academy	17-Apr-24	584	28
IDEA Bluff Springs Academy	18-Apr-24	584	32
IDEA Bluff Springs Academy	19-Apr-24	584	53
IDEA Bluff Springs College Preparatory	15-Apr-24	694	84
IDEA Bluff Springs College Preparatory	16-Apr-24	694	62
IDEA Bluff Springs College Preparatory	17-Apr-24	694	42
IDEA Bluff Springs College Preparatory	18-Apr-24	694	53
IDEA Bluff Springs College Preparatory	19-Apr-24	694	72
IDEA Brackenridge Academy	15-Apr-24	640	44
IDEA Brackenridge Academy	16-Apr-24	640	20
IDEA Brackenridge Academy	17-Apr-24	638	21
IDEA Brackenridge Academy	18-Apr-24	638	24
IDEA Brackenridge Academy	19-Apr-24	638	62
IDEA Brackenridge College Preparatory	15-Apr-24	645	76
IDEA Brackenridge College Preparatory	16-Apr-24	645	43
IDEA Brackenridge College Preparatory	17-Apr-24	646	32
IDEA Brackenridge College Preparatory	18-Apr-24	646	45
IDEA Brackenridge College Preparatory	19-Apr-24	646	63
IDEA Brownsville Academy	15-Apr-24	684	41
IDEA Brownsville Academy	16-Apr-24	684	14
IDEA Brownsville Academy	17-Apr-24	684	28
IDEA Brownsville Academy	18-Apr-24	684	21
IDEA Brownsville Academy	19-Apr-24	684	41
IDEA Brownsville College Preparatory	15-Apr-24	694	28
IDEA Brownsville College Preparatory	16-Apr-24	694	12
IDEA Brownsville College Preparatory	17-Apr-24	694	37
IDEA Brownsville College Preparatory	18-Apr-24	694	37
IDEA Brownsville College Preparatory	19-Apr-24	694	34
IDEA Burke Academy	15-Apr-24	710	49
IDEA Burke Academy	16-Apr-24	710	27
IDEA Burke Academy	17-Apr-24	710	37
IDEA Burke Academy	18-Apr-24	710	40
IDEA Burke Academy	19-Apr-24	710	55
IDEA Burke College Preparatory	15-Apr-24	497	29
IDEA Burke College Preparatory	16-Apr-24	497	15
IDEA Burke College Preparatory	17-Apr-24	497	29
IDEA Burke College Preparatory	18-Apr-24	496	26
IDEA Burke College Preparatory	19-Apr-24	496	36
IDEA Carver Academy	15-Apr-24	509	30
IDEA Carver Academy	16-Apr-24	509	19
IDEA Carver Academy	17-Apr-24	509	30
IDEA Carver Academy	18-Apr-24	509	22
IDEA Carver Academy	19-Apr-24	508	33
IDEA Carver College Preparatory	15-Apr-24	629	33
IDEA Carver College Preparatory	16-Apr-24	629	28
IDEA Carver College Preparatory	17-Apr-24	629	31
IDEA Carver College Preparatory	18-Apr-24	629	36
IDEA Carver College Preparatory	19-Apr-24	628	50
IDEA Converse Academy	15-Apr-24	628	31
IDEA Converse Academy	16-Apr-24	627	25
IDEA Converse Academy	17-Apr-24	627	26
IDEA Converse Academy	18-Apr-24	627	23
IDEA Converse Academy	19-Apr-24	627	39
IDEA Converse College Preparatory	15-Apr-24	365	26
IDEA Converse College Preparatory	16-Apr-24	365	10
IDEA Converse College Preparatory	17-Apr-24	364	34
IDEA Converse College Preparatory	18-Apr-24	364	27
IDEA Converse College Preparatory	19-Apr-24	364	39
IDEA Donna Academy	15-Apr-24	754	61
IDEA Donna Academy	16-Apr-24	754	19
IDEA Donna Academy	17-Apr-24	754	36
IDEA Donna Academy	18-Apr-24	754	30
IDEA Donna Academy	19-Apr-24	754	37
IDEA Donna College Preparatory	15-Apr-24	750	33
IDEA Donna College Preparatory	16-Apr-24	751	29
IDEA Donna College Preparatory	17-Apr-24	751	35
IDEA Donna College Preparatory	18-Apr-24	751	48
IDEA Donna College Preparatory	19-Apr-24	751	53
IDEA Eastside Academy	15-Apr-24	408	31
IDEA Eastside Academy	16-Apr-24	408	21
IDEA Eastside Academy	17-Apr-24	408	30
IDEA Eastside Academy	18-Apr-24	410	28
IDEA Eastside Academy	19-Apr-24	410	50
IDEA Eastside College Preparatory	15-Apr-24	527	43
IDEA Eastside College Preparatory	16-Apr-24	530	46
IDEA Eastside College Preparatory	17-Apr-24	529	48
IDEA Eastside College Preparatory	18-Apr-24	531	35
IDEA Eastside College Preparatory	19-Apr-24	531	84
IDEA Edgecliff Academy	15-Apr-24	707	30
IDEA Edgecliff Academy	16-Apr-24	707	26
IDEA Edgecliff Academy	17-Apr-24	707	27
IDEA Edgecliff Academy	18-Apr-24	707	35
IDEA Edgecliff Academy	19-Apr-24	707	57
IDEA Edgecliff College Preparatory	15-Apr-24	458	22
IDEA Edgecliff College Preparatory	16-Apr-24	458	12
IDEA Edgecliff College Preparatory	17-Apr-24	458	14
IDEA Edgecliff College Preparatory	18-Apr-24	458	12
IDEA Edgecliff College Preparatory	19-Apr-24	458	20
IDEA Edgemere Academy	15-Apr-24	840	45
IDEA Edgemere Academy	16-Apr-24	840	26
IDEA Edgemere Academy	17-Apr-24	840	31
IDEA Edgemere Academy	18-Apr-24	840	34
IDEA Edgemere Academy	19-Apr-24	840	50
IDEA Edgemere College Preparatory	15-Apr-24	568	35
IDEA Edgemere College Preparatory	16-Apr-24	567	16
IDEA Edgemere College Preparatory	17-Apr-24	566	30
IDEA Edgemere College Preparatory	18-Apr-24	566	22
IDEA Edgemere College Preparatory	19-Apr-24	566	38
IDEA Edinburg Academy	15-Apr-24	715	37
IDEA Edinburg Academy	16-Apr-24	715	20
IDEA Edinburg Academy	17-Apr-24	715	28
IDEA Edinburg Academy	18-Apr-24	715	46
IDEA Edinburg Academy	19-Apr-24	715	34
IDEA Edinburg College Preparatory	15-Apr-24	754	39
IDEA Edinburg College Preparatory	16-Apr-24	754	30
